coef;Estimate;    SE;     z; P(>|z|);name; coef_no
(Intercept);-0,0464;105;-442;0,658;-;1
poly(bio1, 2)1;-10,2726;3694;-2781;0,00542;bio1  ;1
poly(bio1, 2)2;-14,3791;4281;-3359;0,000783;bio1 ;2
poly(bio3, 2)1;5,0227;3257;1542;0,123;bio3;1
poly(bio3, 2)2;-13,7076;3901;-3514;0,000442;bio3;2
poly(bio12, 2)1;4,3356;4508;962;0,336;bio12;1
poly(bio12, 2)2;-7,0181;3043;-2307;0,0211;bio12;2
poly(tree_cover, 2)1;-23,2705;4494;-5178;0,000000224;tree_cover;1
poly(tree_cover, 2)2;11,2364;3071;3659;0,000253;tree_cover;2
poly(grass_cover, 2)1;26,6732;4263;6256;0,000000000394;grass_cover;1
poly(grass_cover, 2)2;-10,4551;3603;-2902;0,00371;grass_cover;2
poly(bare_soil, 2)1;-60,8156;12906;-4712;0,00000245;bare_soil;1
poly(bare_soil, 2)2;-38,8953;18172;-2,14;0,0323;bare_soil;2
poly(distance_to_water, 2)1;-17,1137;2931;-5839;0,00000000527;distance_to_water;1
poly(distance_to_water, 2)2;11,5062;2842;4049;0,0000514;distance_to_water;2
poly(distance_to_landfill, 2)1;2,8089;3111;903;0,367;distance_to_landfill;1
poly(distance_to_landfill, 2)2;-4,2788;2903;-1474;0,14;distance_to_landfill;2
